Time,PID,Event
13535,39,Going to disk
13535,39,Arrived at disk 1
13635,110,Job arrived at CPU.
13635,110,Job started at CPU.
13649,110,Job finished at CPU.
13649,110,Job complete.
13778,111,Job arrived at CPU.
13778,111,Job started at CPU.
13788,111,Job finished at CPU.
13788,111,Job complete.
13800,36,Job finished at disk 2.
13800,36,Returning to CPU
13800,2,Job started at disk 2.
13800,36,Job arrived at CPU.
13800,36,Job started at CPU.
13812,36,Job finished at CPU.
13812,36,Going to disk
13812,36,Arrived at disk 2
13893,112,Job arrived at CPU.
13893,112,Job started at CPU.
13906,112,Job finished at CPU.
13906,112,Going to disk
13906,112,Arrived at disk 2
14029,113,Job arrived at CPU.
14029,113,Job started at CPU.
14044,113,Job finished at CPU.
14044,113,Going to disk
14044,113,Arrived at disk 1
14129,41,Job finished at disk 1.
14129,41,Returning to CPU
14129,5,Job started at disk 1.
14129,41,Job arrived at CPU.
14129,41,Job started at CPU.
14142,41,Job finished at CPU.
14142,41,Going to disk
14142,41,Arrived at disk 1
14178,114,Job arrived at CPU.
14178,114,Job started at CPU.
14189,114,Job finished at CPU.
14189,114,Going to disk
14189,114,Arrived at disk 2
14325,115,Job arrived at CPU.
14325,115,Job started at CPU.
14340,115,Job finished at CPU.
14340,115,Going to disk
14340,115,Arrived at disk 1
14434,116,Job arrived at CPU.
14434,116,Job started at CPU.
14448,116,Job finished at CPU.
14448,116,Going to disk
14448,116,Arrived at disk 2
14555,117,Job arrived at CPU.
14555,117,Job started at CPU.
14566,117,Job finished at CPU.
14566,117,Going to disk
14566,117,Arrived at disk 1
14659,2,Job finished at disk 2.
14659,2,Returning to CPU
14659,40,Job started at disk 2.
14659,2,Job arrived at CPU.
14659,2,Job started at CPU.
14671,2,Job finished at CPU.
14671,2,Job complete.
14695,118,Job arrived at CPU.
14695,118,Job started at CPU.
14706,118,Job finished at CPU.
14706,118,Going to disk
14706,118,Arrived at disk 2
14810,119,Job arrived at CPU.
14810,119,Job started at CPU.
14824,119,Job finished at CPU.
14824,119,Going to disk
14824,119,Arrived at disk 2
14846,5,Job finished at disk 1.
14846,5,Returning to CPU
14846,43,Job started at disk 1.
14846,5,Job arrived at CPU.
14846,5,Job started at CPU.
14861,5,Job finished at CPU.
14861,5,Going to disk
14861,5,Arrived at disk 1
14940,120,Job arrived at CPU.
14940,120,Job started at CPU.
14951,120,Job finished at CPU.
14951,120,Going to disk
14951,120,Arrived at disk 1
15083,121,Job arrived at CPU.
15083,121,Job started at CPU.
15098,121,Job finished at CPU.
15098,121,Going to disk
15098,121,Arrived at disk 2
15216,122,Job arrived at CPU.
15216,122,Job started at CPU.
15228,122,Job finished at CPU.
15228,122,Going to disk
15228,122,Arrived at disk 1
15308,40,Job finished at disk 2.
15308,40,Returning to CPU
15308,42,Job started at disk 2.
15308,40,Job arrived at CPU.
15308,40,Job started at CPU.
15322,40,Job finished at CPU.
15322,40,Going to disk
15322,40,Arrived at disk 2
15325,123,Job arrived at CPU.
15325,123,Job started at CPU.
15339,123,Job finished at CPU.
15339,123,Going to disk
15339,123,Arrived at disk 2
15469,124,Job arrived at CPU.
15469,124,Job started at CPU.
15479,124,Job finished at CPU.
15479,124,Going to disk
15479,124,Arrived at disk 1
15573,43,Job finished at disk 1.
15573,43,Returning to CPU
15573,45,Job started at disk 1.
15573,43,Job arrived at CPU.
15573,43,Job started at CPU.
15583,43,Job finished at CPU.
15583,43,Going to disk
15583,43,Arrived at disk 1
15603,125,Job arrived at CPU.
15603,125,Job started at CPU.
15616,125,Job finished at CPU.
15616,125,Going to disk
15616,125,Arrived at disk 2
15714,126,Job arrived at CPU.
15714,126,Job started at CPU.
15725,126,Job finished at CPU.
15725,126,Job complete.
15844,127,Job arrived at CPU.
15844,127,Job started at CPU.
15854,127,Job finished at CPU.
15854,127,Going to disk
15854,127,Arrived at disk 1
15975,128,Job arrived at CPU.
15975,128,Job started at CPU.
15989,128,Job finished at CPU.
15989,128,Going to disk
15989,128,Arrived at disk 2
16082,42,Job finished at disk 2.
16082,42,Returning to CPU
16082,44,Job started at disk 2.
16082,42,Job arrived at CPU.
16082,42,Job started at CPU.
16097,42,Job finished at CPU.
16097,42,Going to disk
16097,42,Arrived at disk 2
16111,129,Job arrived at CPU.
16111,129,Job started at CPU.
16122,129,Job finished at CPU.
16122,129,Job complete.
16191,45,Job finished at disk 1.
16191,45,Returning to CPU
16191,47,Job started at disk 1.
16191,45,Job arrived at CPU.
